latency,stall_pct,rxtx_mbps,direct_mbps,ratio_to_direct,duty_direct_%,duty_hybrid_%,status
1,25,,,,,,DROP
1,15,42.32,44.0,0.9618181818181818,12.51,13.0,OK
1,5,41.6,44.0,0.9454545454545454,12.51,13.98,OK
1,1,43.2,44.0,0.9818181818181819,12.51,13.0,OK
20,25,37.28,43.92,0.848816029143898,12.51,13.94,OK
20,15,38.96,43.92,0.8870673952641166,12.51,13.94,OK
20,5,41.68,44.0,0.9472727272727273,12.51,15.71,OK
20,1,41.76,44.0,0.9490909090909091,12.51,15.33,OK
40,25,,,,,,DROP
40,15,22.88,43.92,0.5209471766848816,12.51,12.83,OK
40,5,40.64,43.92,0.9253187613843351,12.51,14.24,OK
40,1,41.6,43.92,0.9471766848816029,12.51,14.97,OK
60,25,,,,,,DROP
60,15,14.8,43.92,0.33697632058287796,12.51,12.68,FAIL
60,5,39.6,43.92,0.9016393442622951,12.51,14.52,OK
60,1,41.44,43.92,0.9435336976320582,12.51,14.48,OK
80,25,,,,,,DROP
80,15,18.48,43.92,0.42076502732240434,12.51,12.38,FAIL
80,5,39.68,43.92,0.9034608378870673,12.51,13.87,OK
80,1,39.04,43.92,0.8888888888888888,12.51,13.37,OK
